Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C3, C5, C7, C9",C0603,8,10uF,C85713
"C10, C13, C14, C17, C4, C6, C8",C0603,7,0.1 uF,C105907
"C16, C2",C0603,2,1uF,C105174
"D1, D2",SOD-323_L1.8-W1.3-LS2.5-RD,2,~,C48192
D3,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BL,1,TPD4E1U06DCKR,C194628
D5,SOD-323_L1.7-W1.3-LS2.5-RD,1,"PDZ3.3B,115",C426855
H1,HDR-TH_10P-P2.54-V-F-1,1,~,C350306
LED1,LED0805-RD,1,Blue,C108412
"P1, P2",CONN-TH_WJ126V-5.0-2P,2,~,C8404
"Q1, Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,~,C49581
R1,R0402,1,22.1K,C43473
"R10, R11, R12, R13, R26, R4, R6, R7, R8, R9",R0603,10,10K,C25804
R14,R0603,1,0.5R,C45312
"R15, R16, R17",R1206,3,1R,C17928
R18,R1206,1,5R,C37912
"R19, R20",R1210,2,10R,C473562
R2,R0402,1,47.5K,C25896
"R22, R29",RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L,2,10K,C118954
R25,R0603,1,270K,C310276
R3,R0603,1,1K,C21190
R5,R0603,1,120R,C22787
SDCard1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
SW1,SW-SMD_DSIC08LSGET,1,DSIC08LSGET,C54953
"SW2, SW3",SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6-1,2,~,C2681476
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,~,C6186
U2,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,CP2102N-A02-GQFN28R,C964632
U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LM358,C9418
U4,BULETM-SMD_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
USB1,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,C404969
