Designator,Mid X,Mid Y,Rotation,Layer
C1,141.0,-114.3,270.0,top
C10,160.314,-82.6,270.0,top
C11,186.9,-160.3,180.0,top
C12,203.3,-135.4,270.0,top
C13,186.9,-157.9,0.0,top
C14,200.8,-135.4,90.0,top
C15,186.7,-136.7,270.0,top
C16,144.046,-144.39,180.0,top
C17,152.9,-151.8,90.0,top
C2,142.83,-106.524,0.0,top
C3,152.3,-136.6,180.0,top
C4,152.3,-134.4,0.0,top
C5,147.3,-127.4,270.0,top
C6,144.6,-127.4,90.0,top
C7,189.1,-107.8,0.0,top
C8,189.1,-110.1,180.0,top
C9,162.6,-82.6,90.0,top
D1,144.5,-132.8,180.0,top
D2,144.5,-134.8,180.0,top
D3,138.87,-108.8875,90.0,top
D5,195.9,-119.2,270.0,top
H1,139.192,-91.634576,225.0,top
LED1,146.3,-119.7,0.0,top
P1,208.4325,-111.7925,180.0,top
P2,208.4325,-126.5325,180.0,top
Q1,152.8,-100.5,180.0,top
Q2,152.9,-104.65,180.0,top
R1,143.1,-103.4,0.0,top
R10,172.3,-102.4,270.0,top
R11,174.2,-102.4,270.0,top
R12,166.8,-102.4,270.0,top
R13,168.7,-102.4,270.0,top
R14,160.1,-146.3,270.0,top
R15,163.1,-146.2,270.0,top
R16,166.1,-146.2,270.0,top
R17,168.9,-146.2,270.0,top
R18,171.8,-146.2,270.0,top
R19,175.2,-146.2,270.0,top
R2,143.1,-104.8,0.0,top
R20,179.3,-146.2,270.0,top
R22,191.9675,-151.5575,0.0,top
R25,185.9,-148.6,90.0,top
R26,140.236,-143.628,90.0,top
R29,191.9675,-145.4575,0.0,top
R3,143.1,-114.3,90.0,top
R4,147.8,-115.3,180.0,top
R5,151.6,-119.7,0.0,top
R6,146.3,-102.7,270.0,top
R7,149.4,-102.8,90.0,top
R8,165.0,-102.4,270.0,top
R9,170.5,-102.4,270.0,top
SDCard1,195.58,-94.996,135.0,top
SW1,172.0,-155.4,0.0,top
SW2,148.4,-151.8,0.0,top
SW3,142.494,-147.574,0.0,top
U1,152.3,-127.6,270.0,top
U2,147.005,-111.0,0.0,top
U3,192.4,-136.6,270.0,top
U4,172.4,-87.884,0.0,top
USB1,130.8,-111.8,270.0,top
